post_id,user_id,timestamp,likes,shares,comments,label,text
1,103,2023-01-01 00:00:00,33.0,5.0,4.0,Legitimate,Studies show water quality impacts health.
2,271,2023-01-01 01:00:00,31.0,5.0,-1.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
3,107,2023-01-01 02:00:00,32.0,3.0,,Legitimate,Clean water access has improved in rural Kenya.
4,72,2023-01-01 03:00:00,27.0,5.0,4.0,Legitimate,Local programs claim sanitation success.
5,189,2023-01-01 04:00:00,25.0,0.0,3.0,Legitimate,Experts debate the safety of boiling water.
6,21,2023-01-01 05:00:00,32.0,6.0,2.0,Legitimate,
7,103,2023-01-01 06:00:00,28.0,5.0,4.0,Legitimate,More East African homes now use filtration.
8,122,2023-01-01 07:00:00,26.0,7.0,2.0,Misinformation,Boiled water increases blood acidity.
9,215,2023-01-01 08:00:00,29.0,4.0,,Legitimate,UNICEF supports safe water projects in Ethiopia.
10,88,2023-01-01 09:00:00,35.0,3.0,4.0,Legitimate,Safe sanitation is key to public health.
11,100,2023-01-01 10:00:00,17.0,13.0,3.0,Misinformation,Studies show water quality impacts health.
12,152,2023-01-01 11:00:00,,9.0,5.0,Legitimate,New WHO guidelines promote water boiling.
13,131,2023-01-01 12:00:00,23.0,20.0,3.0,Misinformation,Drinking bottled water causes kidney failure.
14,150,2023-01-01 13:00:00,,6.0,7.0,Legitimate,Proper handwashing reduces cholera outbreaks.
15,258,2023-01-01 14:00:00,16.0,16.0,2.0,Misinformation,Drinking bottled water causes kidney failure.
16,294,2023-01-01 15:00:00,17.0,15.0,8.0,Misinformation,Natural spring water prevents COVID-19.
17,192,2023-01-01 16:00:00,19.0,10.0,1.0,Misinformation,
18,277,2023-01-01 17:00:00,30.0,6.0,1.0,Legitimate,Safe sanitation is key to public health.
19,161,2023-01-01 18:00:00,32.0,2.0,4.0,Legitimate,Water kiosks now serve clean water in Nairobi.
20,22,2023-01-01 19:00:00,22.0,4.0,,Legitimate,Solar disinfection of water proves effective.
21,253,2023-01-01 20:00:00,35.0,9.0,6.0,Legitimate,
22,236,2023-01-01 21:00:00,18.0,14.0,0.0,Misinformation,Government hides real dangers of hand sanitizers.
23,49,2023-01-01 22:00:00,31.0,3.0,-2.0,Legitimate,Local programs claim sanitation success.
24,59,2023-01-01 23:00:00,35.0,,2.0,Legitimate,
25,170,2023-01-02 00:00:00,31.0,,2.0,Legitimate,NGOs distribute water purification tablets.
26,188,2023-01-02 01:00:00,24.0,,1.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
27,271,2023-01-02 02:00:00,19.0,16.0,4.0,Misinformation,Natural spring water prevents COVID-19.
28,190,2023-01-02 03:00:00,24.0,10.0,4.0,Misinformation,Government hides real dangers of hand sanitizers.
29,175,2023-01-02 04:00:00,27.0,4.0,3.0,Legitimate,Public toilets improve hygiene in Kampala.
30,51,2023-01-02 05:00:00,28.0,5.0,5.0,Legitimate,Safe sanitation is key to public health.
31,55,2023-01-02 06:00:00,30.0,1.0,6.0,Legitimate,Local programs claim sanitation success.
32,244,2023-01-02 07:00:00,27.0,2.0,2.0,Legitimate,New WHO guidelines promote water boiling.
33,131,2023-01-02 08:00:00,14.0,10.0,3.0,Misinformation,Chlorinated water is a government mind control tactic.
34,135,2023-01-02 09:00:00,26.0,17.0,1.0,Misinformation,Natural spring water prevents COVID-19.
35,21,2023-01-02 10:00:00,28.0,6.0,0.0,Legitimate,Rainwater harvesting gains popularity in Uganda.
36,167,2023-01-02 11:00:00,30.0,4.0,0.0,Legitimate,Experts debate the safety of boiling water.
37,274,2023-01-02 12:00:00,25.0,2.0,2.0,Legitimate,Experts debate the safety of boiling water.
38,89,2023-01-02 13:00:00,28.0,5.0,4.0,Legitimate,Solar disinfection of water proves effective.
39,14,2023-01-02 14:00:00,24.0,2.0,4.0,Legitimate,Proper handwashing reduces cholera outbreaks.
40,242,2023-01-02 15:00:00,22.0,5.0,2.0,Legitimate,Mobile apps now report safe borehole locations.
41,265,2023-01-02 16:00:00,23.0,3.0,1.0,Legitimate,Sanitation drives are working in rural areas.
42,53,2023-01-02 17:00:00,35.0,3.0,8.0,Legitimate,Water kiosks now serve clean water in Nairobi.
43,92,2023-01-02 18:00:00,26.0,1.0,7.0,Legitimate,East African communities adopt water filtration.
44,264,2023-01-02 19:00:00,27.0,14.0,1.0,Misinformation,Boiled water increases blood acidity.
45,35,2023-01-02 20:00:00,20.0,8.0,2.0,Misinformation,Western NGOs poison wells to reduce population.
46,206,2023-01-02 21:00:00,27.0,8.0,5.0,Legitimate,Solar disinfection of water proves effective.
47,81,2023-01-02 22:00:00,29.0,6.0,-1.0,Legitimate,East African communities adopt water filtration.
48,50,2023-01-02 23:00:00,23.0,-1.0,2.0,Legitimate,Local programs claim sanitation success.
49,2,2023-01-03 00:00:00,34.0,5.0,0.0,Legitimate,Clean water access has improved in rural Kenya.
50,54,2023-01-03 01:00:00,34.0,2.0,3.0,Legitimate,New WHO guidelines promote water boiling.
51,106,2023-01-03 02:00:00,19.0,7.0,6.0,Misinformation,Western NGOs poison wells to reduce population.
52,260,2023-01-03 03:00:00,29.0,0.0,1.0,Legitimate,Solar disinfection of water proves effective.
53,191,2023-01-03 04:00:00,24.0,7.0,4.0,Legitimate,Water kiosks now serve clean water in Nairobi.
54,218,2023-01-03 05:00:00,32.0,5.0,3.0,Legitimate,Studies show water quality impacts health.
55,44,2023-01-03 06:00:00,,10.0,3.0,Misinformation,Boiling water damages your organs.
